Unnamed: 0,Name,z,rho,ang_sep,RA,DEC,cosmo,CreationDate,user,HM_0_500,HM_0_100,HM_100_200,HM_200_300,HM_300_400,HM_400_500,mstars,rvir,rho_rvir,gal_type,z_igmsys,log_rho
2191,J1151+5437_112_904,0.182095646858215,2857.6056462948345,903.8113511718816,178.235109320111,54.5293070392164,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6380666927.616241,,,,0.181682,3.4560022953244474
2192,J1151+5437_314_905,0.059308975934982,1071.5205956425302,904.5464308563146,177.52170833333332,54.799995555555554,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,250478800.29035658,,,,0.059309,3.0300005230100826
2193,J1151+5437_181_908,0.066530525684356,1196.551159747221,908.1677550211951,177.8244208333333,54.37366472222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,732839038.5862643,,,,0.067643,3.0779312720434153
2194,J1151+5437_244_909,0.300680696964263,4180.184846004434,908.5212704170356,177.444075,54.51511,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,8947780832.431555,,,,0.300681,3.6211954865178058
2195,J1151+5437_84_911,0.143017962574958,2363.547406922832,911.3185862287472,178.270625,54.6502875,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,4358226704.260806,,,,0.1425,3.373564317600858
2196,J1151+5437_48_913,0.079786166548728,1419.8174076624466,912.6776240849592,178.164453202568,54.7934991111837,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,6036837623.035577,,,,0.076326,3.1522324965355626
2197,J1151+5437_345_916,0.135720193386077,2273.0005534726847,915.9641872469062,177.7191625,54.8713075,Planck15,2021-Mar-28,jnburchett,hit,miss,hit,miss,miss,miss,6133805884.653673,,,,0.136303,3.356599541475126
2198,J1151+5437_143_917,0.422343045473098,5244.677927381859,916.7551513852272,178.09779166666667,54.42181027777777,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,37330933151.7478,,,,0.422343,3.7197188235771375
2199,J1151+5437_279_917,0.22573783993721,3428.552926786509,917.2367171537396,177.40000416666666,54.66439805555555,Planck15,2021-Mar-28,jnburchett,hit,miss,hit,miss,miss,miss,7481836942.062492,,,,0.225085,3.5351108580842894
2200,J1151+5437_207_921,0.129970476031303,2203.230804879945,921.1126626972704,177.633375,54.39841083333333,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,8094269730.961464,,,,0.13135,3.343059995124109
2201,J1151+5437_52_926,0.419316858053207,5277.64610226493,926.441210671766,178.188720968506,54.7824344346105,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,132090753.83404773,,,,0.419375,3.722440264818003
