Name,z,rho,ang_sep,RA,DEC,cosmo,CreationDate,user,HM_0_500,HM_0_100,HM_100_200,HM_200_300,HM_300_400,HM_400_500,mstars,rvir,rho_rvir,gal_type,z_igmsys
J1151+5437_12_2323,0.152619913220405,7329.775945938953,2322.5655285568905,178.061317366688,55.2578108310748,Planck15,2021-Mar-28,jnburchett,hit,hit,miss,miss,miss,miss,9.280836497050814,,,,0.15344
J1208+4540_241_2058,0.173186048865318,7331.355532715893,2057.843176621208,181.530666687694,45.3960070713129,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.848130910186637,,,,0.173321
J0751+2919_114_1544,0.234460145235061,7333.281699838526,1544.492455958461,118.24983333333334,29.151611388888888,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,10.1317621492066,,,,0.23446
J1208+4540_22_1238,0.297661989927291,7339.406175534629,1237.8450930775898,182.42550416666663,45.99563972222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.954441746015366,,,,0.29767
J1151+5437_145_1344,0.272285163402557,7339.9141477809935,1344.312891604092,178.20342083333333,54.319790000000005,Planck15,2021-Mar-28,jnburchett,hit,hit,miss,miss,miss,miss,9.874313576197753,,,,0.27251
J1208+4540_247_1378,0.265333205461502,7347.420681129828,1378.4372151488244,181.73954583333327,45.5243225,Planck15,2021-Mar-28,jnburchett,hit,miss,miss,hit,miss,miss,9.927860765989472,,,,0.264723
J0751+2919_169_2905,0.121399067342281,7349.243102658645,2904.917584675756,117.975390356126,28.5348949549381,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,10.382660845131753,,,,0.117982
J1208+4540_287_852,0.451276361942291,7350.772669065806,852.0933226835776,181.9167833333333,45.74390416666667,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.789118931628332,,,,0.451437
J1208+4540_281_1329,0.276268154382705,7355.351074805014,1329.1043160579038,181.72296666666668,45.74792472222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.760996152506847,,,,0.27543
J1151+5437_47_2594,0.136590778827667,7355.668554629603,2593.863498569732,178.753221944881,55.1159073472338,Planck15,2021-Mar-28,jnburchett,hit,miss,miss,miss,hit,miss,9.747959590247767,,,,0.136303
J1409+2618_238_2233,0.159615367650985,7356.760463048781,2232.875023602474,211.767523090126,25.9717759943237,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.136412435006674,,,,0.1596
J0751+2919_338_1524,0.238573014736175,7357.02635416488,1524.404036784362,117.61837916666666,29.71969805555556,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,10.145177844672437,,,,0.23936
J1632+3737_234_1357,0.270421624183654,7360.100193710354,1356.6375626669712,247.62027916666668,37.408992777777776,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.749439186552484,,,,0.269575
J1208+4540_206_895,0.427698999643325,7360.564061718752,894.5343268745903,182.085929049324,45.4532596381125,Planck15,2021-Mar-28,jnburchett,hit,hit,hit,miss,miss,miss,10.517929372939397,,,,0.426771
J1409+2618_203_893,0.428722441196441,7362.478222005726,892.8780114154047,212.2421708333333,26.077356388888887,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.63607655466372,,,,0.432724
J0751+2919_78_1181,0.314618706703186,7365.649682854602,1180.593976250129,118.16975416666668,29.393709166666667,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,10.240672680448926,,,,0.31265
J1208+4540_221_1612,0.225173994898796,7368.279886033319,1611.9888344213248,181.82450416666663,45.33739472222222,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,10.015896597256742,,,,0.222574
J0751+2919_193_1753,0.20601886510849,7368.64616984414,1753.2954018791188,117.67812083333332,28.85231027777778,Planck15,2021-Mar-09,jnburchett,hit,miss,miss,miss,miss,hit,9.959188522998307,,,,0.203858
J0751+2919_10_3356,0.104976385831832,7371.123908435397,3355.7443877595606,117.986682384186,30.2454557381859,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,8.560556748471162,,,,0.10597
J0751+2919_111_1239,0.298850685358047,7371.174881268909,1238.6463192944852,118.17008333333334,29.205346944444443,Planck15,2021-Mar-09,jnburchett,miss,miss,miss,miss,miss,miss,9.990755402192809,,,,0.298851
J0235-0402_140_1991,0.180316478013992,7372.482139889242,1991.1522923864643,39.1338592619349,-4.46144139509939,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.513180335542271,,,,0.181991
J1208+4540_141_1496,0.244114995002746,7374.770237778451,1495.538128659737,182.61054166666665,45.35127638888889,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.728894264084165,,,,0.244115
J1632+3737_316_1184,0.314283162355423,7380.276432576655,1184.096199928859,247.7152625,37.86685555555555,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,10.038222412842474,,,,0.314696
J1409+2618_350_1249,0.296682506799697,7382.424484120173,1248.8886392869051,212.2817958333333,26.647422777777777,Planck15,2021-Mar-08,jnburchett,hit,miss,hit,miss,miss,miss,9.907788859322233,,,,0.29729
J1409+2618_22_1253,0.295899301767349,7386.556485586494,1252.63659753156,212.4946708333333,26.628688888888888,Planck15,2021-Mar-08,jnburchett,hit,miss,miss,hit,miss,miss,10.088624153488933,,,,0.29729
J1632+3737_92_2147,0.166997253894805,7387.482770302379,2147.080217346808,248.756940777377,37.6061307964251,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,9.856552598313941,,,,0.166625
J1208+4540_278_1324,0.278740912675857,7390.16903837716,1324.407737883684,181.720375,45.72922888888889,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.919613333091815,,,,0.280909
J1632+3737_158_2189,0.163911789655685,7399.619887636383,2189.3846009255567,248.29557042519,37.0680875338605,Planck15,2021-Mar-08,jnburchett,hit,miss,hit,miss,miss,miss,10.246364062066505,,,,0.162124
J1151+5437_151_851,0.455583095550537,7403.669094288822,851.1056942627814,178.03329166666666,54.41925416666666,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,8.918776177920961,,,,0.455583
J1409+2618_40_1392,0.26493626832962,7407.7351891820845,1391.6905564547087,212.6252458333333,26.60345277777778,Planck15,2021-Mar-08,jnburchett,miss,miss,miss,miss,miss,miss,10.02835495565012,,,,0.26557
J1208+4540_173_864,0.448060989379882,7408.047795139934,864.1413595376985,182.28135495925,45.4380945479138,Planck15,2021-Mar-28,jnburchett,miss,miss,miss,miss,miss,miss,9.978404259625595,,,,0.448061
